ダイレクト商品ID,サプライヤーID,商品管理番号,商品URL,商品名,ショップ名,消費者向け商品説明文,消費者向け商品詳細（サイズ・容量、規格）,JANコード,商品管理枝番号,内訳,参考価格種別,上代価格(税抜),卸価格単価(税抜),セット毎数量,セット卸額(税込),セット卸額(税抜),セット卸額(消費税),税率区分,出荷条件,商品画像1,商品画像2,商品画像3,商品画像4,商品画像5,商品画像6,商品画像7,商品画像8,商品画像9,商品画像10,画像転載可,ネット販売可,ネットオークション可,消費者直送可,品切れ
21385905-5,755316,SY2440Z,https://www.netsea.jp/shop/755316/SY2440Z,2024年秋新作 ワンピース レディース ロングワンピ 異素材 きれいめ おしゃれ 韓国風,Primo,1枚で簡単楽チン、リラクシーなロング丈ワンピース。<br>シンプルデザインで着こなしの幅が広がる。<br>,"■素材：ポリエステル<br>
■カラー：1#、2#<br>
■サイズ：M L<br>
M:丈約125cm、バスト約92cm、肩幅約37cm、袖丈約55cm<br>
L:丈約126cm、バスト約96cm、肩幅約38cm、袖丈約56cm<br>",,SY2440Z-5,2#(L),O,,2260,1,2486,2260,226,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21385905_0.jpg,21385905_1.jpg,21385905_2.jpg,21385905_3.jpg,21385905_4.jpg,21385905_5.jpg,21385905_6.jpg,21385905_7.jpg,21385905_8.jpg,21385905_9.jpg,Y,Y,Y,Y,N
18890234-1,755316,SY1614Z,https://www.netsea.jp/shop/755316/SY1614Z,2024年秋新作 スカート レディース ロング丈スカート ハイウエスト 全5色 着回し,Primo,これからのシーズンに大人気なスカートです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するスカートです。<br>,"■素材：コットン<br>
■カラー：1#〜5#<br>
■サイズ：M L<br>
M：丈約92cm、ウエスト約62cm<br>
L：丈約94cm、ウエスト約66cm<br>",,SY1614Z-1,1#(M),O,,2359,1,2594,2359,235,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,18890234_0.jpg,18890234_1.jpg,18890234_2.jpg,18890234_3.jpg,18890234_4.jpg,18890234_5.jpg,18890234_6.jpg,18890234_7.jpg,18890234_8.jpg,18890234_9.jpg,Y,Y,Y,Y,N
18890234-2,755316,SY1614Z,https://www.netsea.jp/shop/755316/SY1614Z,2024年秋新作 スカート レディース ロング丈スカート ハイウエスト 全5色 着回し,Primo,これからのシーズンに大人気なスカートです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するスカートです。<br>,"■素材：コットン<br>
■カラー：1#〜5#<br>
■サイズ：M L<br>
M：丈約92cm、ウエスト約62cm<br>
L：丈約94cm、ウエスト約66cm<br>",,SY1614Z-2,1#(L),O,,2359,1,2594,2359,235,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,18890234_0.jpg,18890234_1.jpg,18890234_2.jpg,18890234_3.jpg,18890234_4.jpg,18890234_5.jpg,18890234_6.jpg,18890234_7.jpg,18890234_8.jpg,18890234_9.jpg,Y,Y,Y,Y,N
18890234-3,755316,SY1614Z,https://www.netsea.jp/shop/755316/SY1614Z,2024年秋新作 スカート レディース ロング丈スカート ハイウエスト 全5色 着回し,Primo,これからのシーズンに大人気なスカートです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するスカートです。<br>,"■素材：コットン<br>
■カラー：1#〜5#<br>
■サイズ：M L<br>
M：丈約92cm、ウエスト約62cm<br>
L：丈約94cm、ウエスト約66cm<br>",,SY1614Z-3,2#(M),O,,2359,1,2594,2359,235,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,18890234_0.jpg,18890234_1.jpg,18890234_2.jpg,18890234_3.jpg,18890234_4.jpg,18890234_5.jpg,18890234_6.jpg,18890234_7.jpg,18890234_8.jpg,18890234_9.jpg,Y,Y,Y,Y,N
18890234-4,755316,SY1614Z,https://www.netsea.jp/shop/755316/SY1614Z,2024年秋新作 スカート レディース ロング丈スカート ハイウエスト 全5色 着回し,Primo,これからのシーズンに大人気なスカートです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するスカートです。<br>,"■素材：コットン<br>
■カラー：1#〜5#<br>
■サイズ：M L<br>
M：丈約92cm、ウエスト約62cm<br>
L：丈約94cm、ウエスト約66cm<br>",,SY1614Z-4,2#(L),O,,2359,1,2594,2359,235,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,18890234_0.jpg,18890234_1.jpg,18890234_2.jpg,18890234_3.jpg,18890234_4.jpg,18890234_5.jpg,18890234_6.jpg,18890234_7.jpg,18890234_8.jpg,18890234_9.jpg,Y,Y,Y,Y,N
18890234-5,755316,SY1614Z,https://www.netsea.jp/shop/755316/SY1614Z,2024年秋新作 スカート レディース ロング丈スカート ハイウエスト 全5色 着回し,Primo,これからのシーズンに大人気なスカートです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するスカートです。<br>,"■素材：コットン<br>
■カラー：1#〜5#<br>
■サイズ：M L<br>
M：丈約92cm、ウエスト約62cm<br>
L：丈約94cm、ウエスト約66cm<br>",,SY1614Z-5,3#(M),O,,2359,1,2594,2359,235,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,18890234_0.jpg,18890234_1.jpg,18890234_2.jpg,18890234_3.jpg,18890234_4.jpg,18890234_5.jpg,18890234_6.jpg,18890234_7.jpg,18890234_8.jpg,18890234_9.jpg,Y,Y,Y,Y,N
18890234-6,755316,SY1614Z,https://www.netsea.jp/shop/755316/SY1614Z,2024年秋新作 スカート レディース ロング丈スカート ハイウエスト 全5色 着回し,Primo,これからのシーズンに大人気なスカートです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するスカートです。<br>,"■素材：コットン<br>
■カラー：1#〜5#<br>
■サイズ：M L<br>
M：丈約92cm、ウエスト約62cm<br>
L：丈約94cm、ウエスト約66cm<br>",,SY1614Z-6,3#(L),O,,2359,1,2594,2359,235,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,18890234_0.jpg,18890234_1.jpg,18890234_2.jpg,18890234_3.jpg,18890234_4.jpg,18890234_5.jpg,18890234_6.jpg,18890234_7.jpg,18890234_8.jpg,18890234_9.jpg,Y,Y,Y,Y,N
18890234-7,755316,SY1614Z,https://www.netsea.jp/shop/755316/SY1614Z,2024年秋新作 スカート レディース ロング丈スカート ハイウエスト 全5色 着回し,Primo,これからのシーズンに大人気なスカートです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するスカートです。<br>,"■素材：コットン<br>
■カラー：1#〜5#<br>
■サイズ：M L<br>
M：丈約92cm、ウエスト約62cm<br>
L：丈約94cm、ウエスト約66cm<br>",,SY1614Z-7,4#(M),O,,2359,1,2594,2359,235,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,18890234_0.jpg,18890234_1.jpg,18890234_2.jpg,18890234_3.jpg,18890234_4.jpg,18890234_5.jpg,18890234_6.jpg,18890234_7.jpg,18890234_8.jpg,18890234_9.jpg,Y,Y,Y,Y,N
18890234-8,755316,SY1614Z,https://www.netsea.jp/shop/755316/SY1614Z,2024年秋新作 スカート レディース ロング丈スカート ハイウエスト 全5色 着回し,Primo,これからのシーズンに大人気なスカートです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するスカートです。<br>,"■素材：コットン<br>
■カラー：1#〜5#<br>
■サイズ：M L<br>
M：丈約92cm、ウエスト約62cm<br>
L：丈約94cm、ウエスト約66cm<br>",,SY1614Z-8,4#(L),O,,2359,1,2594,2359,235,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,18890234_0.jpg,18890234_1.jpg,18890234_2.jpg,18890234_3.jpg,18890234_4.jpg,18890234_5.jpg,18890234_6.jpg,18890234_7.jpg,18890234_8.jpg,18890234_9.jpg,Y,Y,Y,Y,N
18890234-9,755316,SY1614Z,https://www.netsea.jp/shop/755316/SY1614Z,2024年秋新作 スカート レディース ロング丈スカート ハイウエスト 全5色 着回し,Primo,これからのシーズンに大人気なスカートです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するスカートです。<br>,"■素材：コットン<br>
■カラー：1#〜5#<br>
■サイズ：M L<br>
M：丈約92cm、ウエスト約62cm<br>
L：丈約94cm、ウエスト約66cm<br>",,SY1614Z-9,5#(M),O,,2359,1,2594,2359,235,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,18890234_0.jpg,18890234_1.jpg,18890234_2.jpg,18890234_3.jpg,18890234_4.jpg,18890234_5.jpg,18890234_6.jpg,18890234_7.jpg,18890234_8.jpg,18890234_9.jpg,Y,Y,Y,Y,N
18890234-10,755316,SY1614Z,https://www.netsea.jp/shop/755316/SY1614Z,2024年秋新作 スカート レディース ロング丈スカート ハイウエスト 全5色 着回し,Primo,これからのシーズンに大人気なスカートです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するスカートです。<br>,"■素材：コットン<br>
■カラー：1#〜5#<br>
■サイズ：M L<br>
M：丈約92cm、ウエスト約62cm<br>
L：丈約94cm、ウエスト約66cm<br>",,SY1614Z-10,5#(L),O,,2359,1,2594,2359,235,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,18890234_0.jpg,18890234_1.jpg,18890234_2.jpg,18890234_3.jpg,18890234_4.jpg,18890234_5.jpg,18890234_6.jpg,18890234_7.jpg,18890234_8.jpg,18890234_9.jpg,Y,Y,Y,Y,N
8910685-1,464355,C10020Z1,https://www.netsea.jp/shop/464355/C10020Z1,ダウンジャケット レディース 撥水 防風 透湿 ライトダウン 婦人服 防寒 ブルゾン アウター ダウンコート,株式会社 シャローム,"シンプルだから、コーディネートしやすい中綿コートです。<br>
軽くて暖かく、しっかりとした防寒効果も実感できます。<br>
人気のデザインでしっかり暖かくデイリーに活躍してくれます。","■素材：ポリアミド＋ダウン<br>
■原産国：中国<br>
■カラー：キャメル、レッド、パープル、ブラック、ローズ、ワイン、ピンク、グリーン、ネイビー、ホワイト、ブルー、オレンジ<br>
■サイズ：<br>
M：着丈約59cm、袖丈約58cm、バスト約92cm、肩幅約37cm<br>
L：着丈約60cm、袖丈約59cm、バスト約96cm、肩幅約38cm<br>
XL：着丈約61cm、袖丈約60cm、バスト約100cm、肩幅約39cm<br>
2XL：着丈約62cm、袖丈約60cm、バスト約105cm、肩幅約40cm<br>
3XL：着丈約63cm、袖丈約61cm、バスト約110cm、肩幅約41cm<br>
4XL：着丈約64cm、袖丈約62cm、バスト約114cm、肩幅約42cm<br>
5XL：着丈約65cm、袖丈約62cm、バスト約118cm、肩幅約43cm<br>
6XL：着丈約66cm、袖丈約62cm、バスト約122cm、肩幅約44cm",,C10020Z1-1,キャメルM,O,,3674,1,4041,3674,367,0,,8910685_0.gif,8910685_1.jpg,8910685_2.jpg,8910685_3.jpg,8910685_4.jpg,8910685_5.jpg,8910685_6.jpg,8910685_7.jpg,8910685_8.jpg,8910685_9.jpg,Y,Y,Y,Y,N
8910685-2,464355,C10020Z1,https://www.netsea.jp/shop/464355/C10020Z1,ダウンジャケット レディース 撥水 防風 透湿 ライトダウン 婦人服 防寒 ブルゾン アウター ダウンコート,株式会社 シャローム,"シンプルだから、コーディネートしやすい中綿コートです。<br>
軽くて暖かく、しっかりとした防寒効果も実感できます。<br>
人気のデザインでしっかり暖かくデイリーに活躍してくれます。","■素材：ポリアミド＋ダウン<br>
■原産国：中国<br>
■カラー：キャメル、レッド、パープル、ブラック、ローズ、ワイン、ピンク、グリーン、ネイビー、ホワイト、ブルー、オレンジ<br>
■サイズ：<br>
M：着丈約59cm、袖丈約58cm、バスト約92cm、肩幅約37cm<br>
L：着丈約60cm、袖丈約59cm、バスト約96cm、肩幅約38cm<br>
XL：着丈約61cm、袖丈約60cm、バスト約100cm、肩幅約39cm<br>
2XL：着丈約62cm、袖丈約60cm、バスト約105cm、肩幅約40cm<br>
3XL：着丈約63cm、袖丈約61cm、バスト約110cm、肩幅約41cm<br>
4XL：着丈約64cm、袖丈約62cm、バスト約114cm、肩幅約42cm<br>
5XL：着丈約65cm、袖丈約62cm、バスト約118cm、肩幅約43cm<br>
6XL：着丈約66cm、袖丈約62cm、バスト約122cm、肩幅約44cm",,C10020Z1-2,キャメルL,O,,3674,1,4041,3674,367,0,,8910685_0.gif,8910685_1.jpg,8910685_2.jpg,8910685_3.jpg,8910685_4.jpg,8910685_5.jpg,8910685_6.jpg,8910685_7.jpg,8910685_8.jpg,8910685_9.jpg,Y,Y,Y,Y,N
8910685-3,464355,C10020Z1,https://www.netsea.jp/shop/464355/C10020Z1,ダウンジャケット レディース 撥水 防風 透湿 ライトダウン 婦人服 防寒 ブルゾン アウター ダウンコート,株式会社 シャローム,"シンプルだから、コーディネートしやすい中綿コートです。<br>
軽くて暖かく、しっかりとした防寒効果も実感できます。<br>
人気のデザインでしっかり暖かくデイリーに活躍してくれます。","■素材：ポリアミド＋ダウン<br>
■原産国：中国<br>
■カラー：キャメル、レッド、パープル、ブラック、ローズ、ワイン、ピンク、グリーン、ネイビー、ホワイト、ブルー、オレンジ<br>
■サイズ：<br>
M：着丈約59cm、袖丈約58cm、バスト約92cm、肩幅約37cm<br>
L：着丈約60cm、袖丈約59cm、バスト約96cm、肩幅約38cm<br>
XL：着丈約61cm、袖丈約60cm、バスト約100cm、肩幅約39cm<br>
2XL：着丈約62cm、袖丈約60cm、バスト約105cm、肩幅約40cm<br>
3XL：着丈約63cm、袖丈約61cm、バスト約110cm、肩幅約41cm<br>
4XL：着丈約64cm、袖丈約62cm、バスト約114cm、肩幅約42cm<br>
5XL：着丈約65cm、袖丈約62cm、バスト約118cm、肩幅約43cm<br>
6XL：着丈約66cm、袖丈約62cm、バスト約122cm、肩幅約44cm",,C10020Z1-3,キャメルXL,O,,3674,1,4041,3674,367,0,,8910685_0.gif,8910685_1.jpg,8910685_2.jpg,8910685_3.jpg,8910685_4.jpg,8910685_5.jpg,8910685_6.jpg,8910685_7.jpg,8910685_8.jpg,8910685_9.jpg,Y,Y,Y,Y,N
8910685-4,464355,C10020Z1,https://www.netsea.jp/shop/464355/C10020Z1,ダウンジャケット レディース 撥水 防風 透湿 ライトダウン 婦人服 防寒 ブルゾン アウター ダウンコート,株式会社 シャローム,"シンプルだから、コーディネートしやすい中綿コートです。<br>
軽くて暖かく、しっかりとした防寒効果も実感できます。<br>
人気のデザインでしっかり暖かくデイリーに活躍してくれます。","■素材：ポリアミド＋ダウン<br>
■原産国：中国<br>
■カラー：キャメル、レッド、パープル、ブラック、ローズ、ワイン、ピンク、グリーン、ネイビー、ホワイト、ブルー、オレンジ<br>
■サイズ：<br>
M：着丈約59cm、袖丈約58cm、バスト約92cm、肩幅約37cm<br>
L：着丈約60cm、袖丈約59cm、バスト約96cm、肩幅約38cm<br>
XL：着丈約61cm、袖丈約60cm、バスト約100cm、肩幅約39cm<br>
2XL：着丈約62cm、袖丈約60cm、バスト約105cm、肩幅約40cm<br>
3XL：着丈約63cm、袖丈約61cm、バスト約110cm、肩幅約41cm<br>
4XL：着丈約64cm、袖丈約62cm、バスト約114cm、肩幅約42cm<br>
5XL：着丈約65cm、袖丈約62cm、バスト約118cm、肩幅約43cm<br>
6XL：着丈約66cm、袖丈約62cm、バスト約122cm、肩幅約44cm",,C10020Z1-4,キャメル2XL,O,,3674,1,4041,3674,367,0,,8910685_0.gif,8910685_1.jpg,8910685_2.jpg,8910685_3.jpg,8910685_4.jpg,8910685_5.jpg,8910685_6.jpg,8910685_7.jpg,8910685_8.jpg,8910685_9.jpg,Y,Y,Y,Y,N
8910685-5,464355,C10020Z1,https://www.netsea.jp/shop/464355/C10020Z1,ダウンジャケット レディース 撥水 防風 透湿 ライトダウン 婦人服 防寒 ブルゾン アウター ダウンコート,株式会社 シャローム,"シンプルだから、コーディネートしやすい中綿コートです。<br>
軽くて暖かく、しっかりとした防寒効果も実感できます。<br>
人気のデザインでしっかり暖かくデイリーに活躍してくれます。","■素材：ポリアミド＋ダウン<br>
■原産国：中国<br>
■カラー：キャメル、レッド、パープル、ブラック、ローズ、ワイン、ピンク、グリーン、ネイビー、ホワイト、ブルー、オレンジ<br>
■サイズ：<br>
M：着丈約59cm、袖丈約58cm、バスト約92cm、肩幅約37cm<br>
L：着丈約60cm、袖丈約59cm、バスト約96cm、肩幅約38cm<br>
XL：着丈約61cm、袖丈約60cm、バスト約100cm、肩幅約39cm<br>
2XL：着丈約62cm、袖丈約60cm、バスト約105cm、肩幅約40cm<br>
3XL：着丈約63cm、袖丈約61cm、バスト約110cm、肩幅約41cm<br>
4XL：着丈約64cm、袖丈約62cm、バスト約114cm、肩幅約42cm<br>
5XL：着丈約65cm、袖丈約62cm、バスト約118cm、肩幅約43cm<br>
6XL：着丈約66cm、袖丈約62cm、バスト約122cm、肩幅約44cm",,C10020Z1-5,キャメル3XL,O,,3674,1,4041,3674,367,0,,8910685_0.gif,8910685_1.jpg,8910685_2.jpg,8910685_3.jpg,8910685_4.jpg,8910685_5.jpg,8910685_6.jpg,8910685_7.jpg,8910685_8.jpg,8910685_9.jpg,Y,Y,Y,Y,N
8910685-6,464355,C10020Z1,https://www.netsea.jp/shop/464355/C10020Z1,ダウンジャケット レディース 撥水 防風 透湿 ライトダウン 婦人服 防寒 ブルゾン アウター ダウンコート,株式会社 シャローム,"シンプルだから、コーディネートしやすい中綿コートです。<br>
軽くて暖かく、しっかりとした防寒効果も実感できます。<br>
人気のデザインでしっかり暖かくデイリーに活躍してくれます。","■素材：ポリアミド＋ダウン<br>
■原産国：中国<br>
■カラー：キャメル、レッド、パープル、ブラック、ローズ、ワイン、ピンク、グリーン、ネイビー、ホワイト、ブルー、オレンジ<br>
■サイズ：<br>
M：着丈約59cm、袖丈約58cm、バスト約92cm、肩幅約37cm<br>
L：着丈約60cm、袖丈約59cm、バスト約96cm、肩幅約38cm<br>
XL：着丈約61cm、袖丈約60cm、バスト約100cm、肩幅約39cm<br>
2XL：着丈約62cm、袖丈約60cm、バスト約105cm、肩幅約40cm<br>
3XL：着丈約63cm、袖丈約61cm、バスト約110cm、肩幅約41cm<br>
4XL：着丈約64cm、袖丈約62cm、バスト約114cm、肩幅約42cm<br>
5XL：着丈約65cm、袖丈約62cm、バスト約118cm、肩幅約43cm<br>
6XL：着丈約66cm、袖丈約62cm、バスト約122cm、肩幅約44cm",,C10020Z1-6,キャメル4XL,O,,3674,1,4041,3674,367,0,,8910685_0.gif,8910685_1.jpg,8910685_2.jpg,8910685_3.jpg,8910685_4.jpg,8910685_5.jpg,8910685_6.jpg,8910685_7.jpg,8910685_8.jpg,8910685_9.jpg,Y,Y,Y,Y,N
8910685-7,464355,C10020Z1,https://www.netsea.jp/shop/464355/C10020Z1,ダウンジャケット レディース 撥水 防風 透湿 ライトダウン 婦人服 防寒 ブルゾン アウター ダウンコート,株式会社 シャローム,"シンプルだから、コーディネートしやすい中綿コートです。<br>
軽くて暖かく、しっかりとした防寒効果も実感できます。<br>
人気のデザインでしっかり暖かくデイリーに活躍してくれます。","■素材：ポリアミド＋ダウン<br>
■原産国：中国<br>
■カラー：キャメル、レッド、パープル、ブラック、ローズ、ワイン、ピンク、グリーン、ネイビー、ホワイト、ブルー、オレンジ<br>
■サイズ：<br>
M：着丈約59cm、袖丈約58cm、バスト約92cm、肩幅約37cm<br>
L：着丈約60cm、袖丈約59cm、バスト約96cm、肩幅約38cm<br>
XL：着丈約61cm、袖丈約60cm、バスト約100cm、肩幅約39cm<br>
2XL：着丈約62cm、袖丈約60cm、バスト約105cm、肩幅約40cm<br>
3XL：着丈約63cm、袖丈約61cm、バスト約110cm、肩幅約41cm<br>
4XL：着丈約64cm、袖丈約62cm、バスト約114cm、肩幅約42cm<br>
5XL：着丈約65cm、袖丈約62cm、バスト約118cm、肩幅約43cm<br>
6XL：着丈約66cm、袖丈約62cm、バスト約122cm、肩幅約44cm",,C10020Z1-7,キャメル5XL,O,,4016,1,4417,4016,401,0,,8910685_0.gif,8910685_1.jpg,8910685_2.jpg,8910685_3.jpg,8910685_4.jpg,8910685_5.jpg,8910685_6.jpg,8910685_7.jpg,8910685_8.jpg,8910685_9.jpg,Y,Y,Y,Y,N
8910685-8,464355,C10020Z1,https://www.netsea.jp/shop/464355/C10020Z1,ダウンジャケット レディース 撥水 防風 透湿 ライトダウン 婦人服 防寒 ブルゾン アウター ダウンコート,株式会社 シャローム,"シンプルだから、コーディネートしやすい中綿コートです。<br>
軽くて暖かく、しっかりとした防寒効果も実感できます。<br>
人気のデザインでしっかり暖かくデイリーに活躍してくれます。","■素材：ポリアミド＋ダウン<br>
■原産国：中国<br>
■カラー：キャメル、レッド、パープル、ブラック、ローズ、ワイン、ピンク、グリーン、ネイビー、ホワイト、ブルー、オレンジ<br>
■サイズ：<br>
M：着丈約59cm、袖丈約58cm、バスト約92cm、肩幅約37cm<br>
L：着丈約60cm、袖丈約59cm、バスト約96cm、肩幅約38cm<br>
XL：着丈約61cm、袖丈約60cm、バスト約100cm、肩幅約39cm<br>
2XL：着丈約62cm、袖丈約60cm、バスト約105cm、肩幅約40cm<br>
3XL：着丈約63cm、袖丈約61cm、バスト約110cm、肩幅約41cm<br>
4XL：着丈約64cm、袖丈約62cm、バスト約114cm、肩幅約42cm<br>
5XL：着丈約65cm、袖丈約62cm、バスト約118cm、肩幅約43cm<br>
6XL：着丈約66cm、袖丈約62cm、バスト約122cm、肩幅約44cm",,C10020Z1-8,レッドM,O,,3674,1,4041,3674,367,0,,8910685_0.gif,8910685_1.jpg,8910685_2.jpg,8910685_3.jpg,8910685_4.jpg,8910685_5.jpg,8910685_6.jpg,8910685_7.jpg,8910685_8.jpg,8910685_9.jpg,Y,Y,Y,Y,N
8910685-9,464355,C10020Z1,https://www.netsea.jp/shop/464355/C10020Z1,ダウンジャケット レディース 撥水 防風 透湿 ライトダウン 婦人服 防寒 ブルゾン アウター ダウンコート,株式会社 シャローム,"シンプルだから、コーディネートしやすい中綿コートです。<br>
軽くて暖かく、しっかりとした防寒効果も実感できます。<br>
人気のデザインでしっかり暖かくデイリーに活躍してくれます。","■素材：ポリアミド＋ダウン<br>
■原産国：中国<br>
■カラー：キャメル、レッド、パープル、ブラック、ローズ、ワイン、ピンク、グリーン、ネイビー、ホワイト、ブルー、オレンジ<br>
■サイズ：<br>
M：着丈約59cm、袖丈約58cm、バスト約92cm、肩幅約37cm<br>
L：着丈約60cm、袖丈約59cm、バスト約96cm、肩幅約38cm<br>
XL：着丈約61cm、袖丈約60cm、バスト約100cm、肩幅約39cm<br>
2XL：着丈約62cm、袖丈約60cm、バスト約105cm、肩幅約40cm<br>
3XL：着丈約63cm、袖丈約61cm、バスト約110cm、肩幅約41cm<br>
4XL：着丈約64cm、袖丈約62cm、バスト約114cm、肩幅約42cm<br>
5XL：着丈約65cm、袖丈約62cm、バスト約118cm、肩幅約43cm<br>
6XL：着丈約66cm、袖丈約62cm、バスト約122cm、肩幅約44cm",,C10020Z1-9,レッドL,O,,3674,1,4041,3674,367,0,,8910685_0.gif,8910685_1.jpg,8910685_2.jpg,8910685_3.jpg,8910685_4.jpg,8910685_5.jpg,8910685_6.jpg,8910685_7.jpg,8910685_8.jpg,8910685_9.jpg,Y,Y,Y,Y,N
8910685-10,464355,C10020Z1,https://www.netsea.jp/shop/464355/C10020Z1,ダウンジャケット レディース 撥水 防風 透湿 ライトダウン 婦人服 防寒 ブルゾン アウター ダウンコート,株式会社 シャローム,"シンプルだから、コーディネートしやすい中綿コートです。<br>
軽くて暖かく、しっかりとした防寒効果も実感できます。<br>
人気のデザインでしっかり暖かくデイリーに活躍してくれます。","■素材：ポリアミド＋ダウン<br>
■原産国：中国<br>
■カラー：キャメル、レッド、パープル、ブラック、ローズ、ワイン、ピンク、グリーン、ネイビー、ホワイト、ブルー、オレンジ<br>
■サイズ：<br>
M：着丈約59cm、袖丈約58cm、バスト約92cm、肩幅約37cm<br>
L：着丈約60cm、袖丈約59cm、バスト約96cm、肩幅約38cm<br>
XL：着丈約61cm、袖丈約60cm、バスト約100cm、肩幅約39cm<br>
2XL：着丈約62cm、袖丈約60cm、バスト約105cm、肩幅約40cm<br>
3XL：着丈約63cm、袖丈約61cm、バスト約110cm、肩幅約41cm<br>
4XL：着丈約64cm、袖丈約62cm、バスト約114cm、肩幅約42cm<br>
5XL：着丈約65cm、袖丈約62cm、バスト約118cm、肩幅約43cm<br>
6XL：着丈約66cm、袖丈約62cm、バスト約122cm、肩幅約44cm",,C10020Z1-10,レッドXL,O,,3674,1,4041,3674,367,0,,8910685_0.gif,8910685_1.jpg,8910685_2.jpg,8910685_3.jpg,8910685_4.jpg,8910685_5.jpg,8910685_6.jpg,8910685_7.jpg,8910685_8.jpg,8910685_9.jpg,Y,Y,Y,Y,N
8910685-11,464355,C10020Z1,https://www.netsea.jp/shop/464355/C10020Z1,ダウンジャケット レディース 撥水 防風 透湿 ライトダウン 婦人服 防寒 ブルゾン アウター ダウンコート,株式会社 シャローム,"シンプルだから、コーディネートしやすい中綿コートです。<br>
軽くて暖かく、しっかりとした防寒効果も実感できます。<br>
人気のデザインでしっかり暖かくデイリーに活躍してくれます。","■素材：ポリアミド＋ダウン<br>
■原産国：中国<br>
■カラー：キャメル、レッド、パープル、ブラック、ローズ、ワイン、ピンク、グリーン、ネイビー、ホワイト、ブルー、オレンジ<br>
■サイズ：<br>
M：着丈約59cm、袖丈約58cm、バスト約92cm、肩幅約37cm<br>
L：着丈約60cm、袖丈約59cm、バスト約96cm、肩幅約38cm<br>
XL：着丈約61cm、袖丈約60cm、バスト約100cm、肩幅約39cm<br>
2XL：着丈約62cm、袖丈約60cm、バスト約105cm、肩幅約40cm<br>
3XL：着丈約63cm、袖丈約61cm、バスト約110cm、肩幅約41cm<br>
4XL：着丈約64cm、袖丈約62cm、バスト約114cm、肩幅約42cm<br>
5XL：着丈約65cm、袖丈約62cm、バスト約118cm、肩幅約43cm<br>
6XL：着丈約66cm、袖丈約62cm、バスト約122cm、肩幅約44cm",,C10020Z1-11,レッド2XL,O,,3674,1,4041,3674,367,0,,8910685_0.gif,8910685_1.jpg,8910685_2.jpg,8910685_3.jpg,8910685_4.jpg,8910685_5.jpg,8910685_6.jpg,8910685_7.jpg,8910685_8.jpg,8910685_9.jpg,Y,Y,Y,Y,N
8910685-12,464355,C10020Z1,https://www.netsea.jp/shop/464355/C10020Z1,ダウンジャケット レディース 撥水 防風 透湿 ライトダウン 婦人服 防寒 ブルゾン アウター ダウンコート,株式会社 シャローム,"シンプルだから、コーディネートしやすい中綿コートです。<br>
軽くて暖かく、しっかりとした防寒効果も実感できます。<br>
人気のデザインでしっかり暖かくデイリーに活躍してくれます。","■素材：ポリアミド＋ダウン<br>
■原産国：中国<br>
■カラー：キャメル、レッド、パープル、ブラック、ローズ、ワイン、ピンク、グリーン、ネイビー、ホワイト、ブルー、オレンジ<br>
■サイズ：<br>
M：着丈約59cm、袖丈約58cm、バスト約92cm、肩幅約37cm<br>
L：着丈約60cm、袖丈約59cm、バスト約96cm、肩幅約38cm<br>
XL：着丈約61cm、袖丈約60cm、バスト約100cm、肩幅約39cm<br>
2XL：着丈約62cm、袖丈約60cm、バスト約105cm、肩幅約40cm<br>
3XL：着丈約63cm、袖丈約61cm、バスト約110cm、肩幅約41cm<br>
4XL：着丈約64cm、袖丈約62cm、バスト約114cm、肩幅約42cm<br>
5XL：着丈約65cm、袖丈約62cm、バスト約118cm、肩幅約43cm<br>
6XL：着丈約66cm、袖丈約62cm、バスト約122cm、肩幅約44cm",,C10020Z1-12,レッド3XL,O,,3674,1,4041,3674,367,0,,8910685_0.gif,8910685_1.jpg,8910685_2.jpg,8910685_3.jpg,8910685_4.jpg,8910685_5.jpg,8910685_6.jpg,8910685_7.jpg,8910685_8.jpg,8910685_9.jpg,Y,Y,Y,Y,N
